OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape__Area,Shape__Length
1,98001,98001,033,Standard,King County,AUBURN,525217802.261749,147925.493779762
2,98002,98002,033,Standard,King County,AUBURN,205453875.632888,104828.865666712
3,98003,98003,033,Standard,King County,FEDERAL WAY,316942628.669535,123733.574057219
4,98004,98004,033,Standard,King County,BELLEVUE,250745415.93306,99325.9494209748
5,98005,98005,033,Standard,King County,BELLEVUE,211433670.290447,116554.738328327
6,98006,98006,033,Standard,King County,BELLEVUE,344685351.199522,94894.7550347589
7,98007,98007,033,Standard,King County,BELLEVUE,115966943.360931,113051.219156614
8,98008,98008,033,Standard,King County,BELLEVUE,221074225.627808,92469.3973905158
9,98010,98010,033,Standard,King County,BLACK DIAMOND,519142697.012896,131813.741581612
10,98011,98011,033,Standard,King County,BOTHELL,197687795.924907,73516.7901509312
11,98011,98011,061,Standard,Snohomish County,BOTHELL,152891.754486084,2747.26696332521
12,98012,98012,061,Standard,Snohomish County,BOTHELL,442655681.353851,118120.445519439
13,98014,98014,033,Standard,King County,CARNATION,1159838488.29038,231918.453780417
14,98019,98019,033,Standard,King County,DUVALL,3188086068.18738,313474.001989502
15,98019,98019,061,Standard,Snohomish County,DUVALL,2266669.88919067,7976.11143896636
16,98020,98020,061,Standard,Snohomish County,EDMONDS,504003033.668701,102285.049163501
17,98021,98021,061,Standard,Snohomish County,BOTHELL,275850295.835281,107426.416687934
18,98022,98022,033,Standard,King County,ENUMCLAW,11360756414.1746,736038.17114861
19,98022,98022,053,Standard,Pierce County,ENUMCLAW,8809822117.47293,514413.098046499
20,98023,98023,033,Standard,King County,FEDERAL WAY,514915543.437004,112480.160301984
21,98024,98024,033,Standard,King County,FALL CITY,2193499469.42667,364856.94454369
22,98026,98026,061,Standard,Snohomish County,EDMONDS,464711904.571655,152276.053308691
23,98027,98027,033,Standard,King County,ISSAQUAH,1610081218.19797,278132.216687259
24,98028,98028,033,Standard,King County,KENMORE,199436426.874243,71170.2370004141
25,98029,98029,033,Standard,King County,ISSAQUAH,276193727.758745,113323.407936545
26,98030,98030,033,Standard,King County,KENT,200650833.906551,93284.5630945867
27,98031,98031,033,Standard,King County,KENT,228130484.998428,114217.445762463
28,98032,98032,033,Standard,King County,KENT,475767828.201559,164035.295036889
29,98033,98033,033,Standard,King County,KIRKLAND,332254507.81311,100570.216011311
30,98034,98034,033,Standard,King County,KIRKLAND,325221325.718647,101657.250470736
31,98036,98036,061,Standard,Snohomish County,LYNNWOOD,264576671.252655,120436.120679491
32,98037,98037,061,Standard,Snohomish County,LYNNWOOD,170527033.667786,83542.4992792157
33,98038,98038,033,Standard,King County,MAPLE VALLEY,1641555614.38572,313202.919192418
34,98039,98039,033,Standard,King County,MEDINA,155180169.847443,61260.479325812
35,98040,98040,033,Standard,King County,MERCER ISLAND,355630910.24968,86242.1867282885
36,98042,98042,033,Standard,King County,KENT,768284463.999313,208820.974605647
37,98043,98043,061,Standard,Snohomish County,MOUNTLAKE TERRACE,116719819.4422,49255.9029770434
38,98045,98045,033,Standard,King County,NORTH BEND,8056672348.36458,644167.77107779
39,98047,98047,033,Standard,King County,PACIFIC,48811898.4781494,41797.6016313564
40,98047,98047,053,Standard,Pierce County,PACIFIC,17402071.9581833,18688.8122816204
41,98050,98050,033,PO Box,King County,PRESTON,39535965.4974917,62720.6529760536
42,98051,98051,033,Standard,King County,RAVENSDALE,1151477140.76043,212924.686933562
43,98052,98052,033,Standard,King County,REDMOND,569645715.579211,163384.999517129
44,98053,98053,033,Standard,King County,REDMOND,773072520.566712,200161.144407355
45,98055,98055,033,Standard,King County,RENTON,124865108.739883,67775.2341222813
46,98056,98056,033,Standard,King County,RENTON,234151634.411469,89829.6404440396
47,98057,98057,033,Standard,King County,RENTON,189527607.223598,88903.8571842255
48,98058,98058,033,Standard,King County,RENTON,627099574.266705,172731.984668837
49,98059,98059,033,Standard,King County,RENTON,462310927.856133,146767.840468243
50,98065,98065,033,Standard,King County,SNOQUALMIE,2405166818.50479,352239.407796604
51,98068,98068,033,PO Box,King County,SNOQUALMIE PASS,2805831.6917963,12574.0265734574
52,98068,98068,037,PO Box,Kittitas County,SNOQUALMIE PASS,1770029111.33829,220130.819553189
53,98070,98070,033,Standard,King County,VASHON,2275005197.25554,205883.685483556
54,98072,98072,033,Standard,King County,WOODINVILLE,368824724.844011,118818.78606916
55,98072,98072,061,Standard,Snohomish County,WOODINVILLE,140602304.188873,81701.8461643969
56,98074,98074,033,Standard,King County,SAMMAMISH,375956896.123708,116931.362733951
57,98075,98075,033,Standard,King County,SAMMAMIISH,336033441.719383,133319.58242155
58,98077,98077,033,Standard,King County,WOODINVILLE,419638041.763916,116788.250296182
59,98077,98077,061,Standard,Snohomish County,WOODINVILLE,82659272.4100037,52323.6023294571
60,98087,98087,061,Standard,Snohomish County,LYNNWOOD,155851985.748291,70657.601023286
61,98092,98092,033,Standard,King County,AUBURN,1212593808.93966,266563.708679641
62,98092,98092,053,Standard,Pierce County,AUBURN,45320225.1726761,36506.1134524174
63,98101,98101,033,Standard,King County,SEATTLE,24480538.6072083,34590.8488811233
64,98102,98102,033,Standard,King County,SEATTLE,43645701.8891296,37668.9123882431
65,98103,98103,033,Standard,King County,SEATTLE,144128265.914276,72834.4125838741
66,98104,98104,033,Standard,King County,SEATTLE,38633223.3517985,43659.0123139464
67,98105,98105,033,Standard,King County,SEATTLE,149631284.831055,85254.5613754899
68,98106,98106,033,Standard,King County,SEATTLE,152521021.091599,88088.318387812
69,98107,98107,033,Standard,King County,SEATTLE,67188487.0395508,49004.4403964447
70,98108,98108,033,Standard,King County,SEATTLE,215679620.00527,85135.4526951801
71,98109,98109,033,Standard,King County,SEATTLE,66380417.1795959,41041.9440474846
72,98110,98110,035,Standard,Kitsap County,BAINBRIDGE ISLAND,1838227181.86211,189688.0136057
73,98112,98112,033,Standard,King County,SEATTLE,140880091.241455,54461.9304700318
74,98115,98115,033,Standard,King County,SEATTLE,243289998.891907,86848.7906979169
75,98116,98116,033,Standard,King County,SEATTLE,370392295.091354,85561.8058112123
76,98117,98117,033,Standard,King County,SEATTLE,178077331.808502,71959.6234376956
77,98118,98118,033,Standard,King County,SEATTLE,256301400.590702,87662.5531239267
78,98119,98119,033,Standard,King County,SEATTLE,112043087.580353,55242.3326866026
79,98121,98121,033,Standard,King County,SEATTLE,27834400.5966797,27469.5424945771
80,98122,98122,033,Standard,King County,SEATTLE,89240661.4882874,57417.4601974746
81,98125,98125,033,Standard,King County,SEATTLE,180107910.812897,71092.6108333602
82,98126,98126,033,Standard,King County,SEATTLE,105865047.666153,85830.556104642
83,98133,98133,033,Standard,King County,SEATTLE,195671831.941355,95305.6313519496
84,98134,98134,033,Standard,King County,SEATTLE,125545924.270966,60097.9205560523
85,98136,98136,033,Standard,King County,SEATTLE,239375035.896057,72901.4350274586
86,98144,98144,033,Standard,King County,SEATTLE,138927276.003283,58216.3437360472
87,98146,98146,033,Standard,King County,SEATTLE,257686278.0383,82937.0321188215
88,98148,98148,033,Standard,King County,SEATTLE,78870240.531662,69392.9659605607
89,98154,98154,033,Standard,King County,SEATTLE,76423.2301025391,1105.87403025575
90,98155,98155,033,Standard,King County,SEATTLE,231157021.418591,72408.0403403468
91,98158,98158,033,Standard,King County,SEATTLE,59126615.4155273,35514.4344700579
92,98164,98164,033,Standard,King County,SEATTLE,77740.1683654785,1115.5232034814
93,98166,98166,033,Standard,King County,SEATTLE,418159247.972992,102892.782487652
94,98168,98168,033,Standard,King County,SEATTLE,259912999.641349,106381.842986124
95,98177,98177,033,Standard,King County,SEATTLE,513969796.538246,115730.973740332
96,98177,98177,061,Standard,Snohomish County,SEATTLE,2228198.52770996,6762.76340508253
97,98178,98178,033,Standard,King County,SEATTLE,152212796.502716,69782.1158688325
98,98188,98188,033,Standard,King County,SEATTLE,222197695.034149,97698.118212729
99,98195,98195,033,Standard,King County,SEATTLE,26803232.5760803,23677.2374556898
100,98198,98198,033,Standard,King County,SEATTLE,335807733.937199,116196.841980533
101,98199,98199,033,Standard,King County,SEATTLE,416980982.104919,90532.1637698422
102,98201,98201,061,Standard,Snohomish County,EVERETT,1154868037.83847,182129.242531864
103,98203,98203,061,Standard,Snohomish County,EVERETT,400951272.266693,108119.429688193
104,98204,98204,061,Standard,Snohomish County,EVERETT,252871938.428802,88881.7142974899
105,98208,98208,061,Standard,Snohomish County,EVERETT,383640726.510223,155845.548544126
106,98221,98221,057,Standard,Skagit County,ANACORTES,3982511124.9375,261244.116210791
107,98223,98223,057,Standard,Skagit County,ARLINGTON,6561127.13012695,10252.8916178876
108,98223,98223,061,Standard,Snohomish County,ARLINGTON,9126147987.22916,591123.723689398
109,98224,98224,033,PO Box,King County,BARING,1719770287.15179,187447.007832602
110,98229,98229,057,Standard,Skagit County,BELLINGHAM,102456643.77179,55329.0606083966
111,98232,98232,057,Standard,Skagit County,BOW,2533450123.80676,224855.630658855
112,98233,98233,057,Standard,Skagit County,BURLINGTON,897963640.232849,258177.120221294
113,98236,98236,029,Standard,Island County,CLINTON,1735068991.13284,207451.566323498
114,98237,98237,057,Standard,Skagit County,CONCRETE,7311575679.4295,602231.516970408
115,98239,98239,029,Standard,Island County,COUPEVILLE,2417192974.10608,232731.116682564
116,98241,98241,057,Standard,Skagit County,DARRINGTON,692247638.693848,135468.885781716
117,98241,98241,061,Standard,Snohomish County,DARRINGTON,10702285395.5697,489725.414004302
118,98249,98249,029,Standard,Island County,FREELAND,1286166739.72949,198169.925798325
119,98251,98251,061,Standard,Snohomish County,GOLD BAR,1568289197.49667,206674.517590759
120,98252,98252,061,Standard,Snohomish County,GRANITE FALLS,11437104886.6954,664264.325715978
121,98253,98253,029,Standard,Island County,GREENBANK,669124989.038391,137344.318228318
122,98255,98255,057,Standard,Skagit County,HAMILTON,19391164.7144775,22577.823624871
123,98256,98256,061,Standard,Snohomish County,INDEX,14619266.179718,24644.9547183985
124,98257,98257,057,Standard,Skagit County,LA CONNER,738187463.382874,129223.974885869
125,98258,98258,061,Standard,Snohomish County,LAKE STEVENS,1083787709.03024,236953.109074592
126,98260,98260,029,Standard,Island County,LANGLEY,1200011421.1926,219315.811154163
127,98263,98263,057,Standard,Skagit County,LYMAN,13889842.7352905,16720.1977330023
128,98267,98267,057,Standard,Skagit County,MARBLEMOUNT,14040305221.5409,733659.801296635
129,98270,98270,061,Standard,Snohomish County,MARYSVILLE,421549068.333008,105906.911800873
130,98271,98271,061,Standard,Snohomish County,MARYSVILLE,1729244636.55121,282317.184373262
131,98272,98272,061,Standard,Snohomish County,MONROE,2518451369.10608,288531.059274823
132,98273,98273,057,Standard,Skagit County,MOUNT VERNON,3245995514.76489,413370.897331509
133,98274,98274,057,Standard,Skagit County,MOUNT VERNON,3005426654.71594,292170.912306697
134,98275,98275,061,Standard,Snohomish County,MUKILTEO,407165290.039154,110023.404838791
135,98277,98277,029,Standard,Island County,OAK HARBOR,4459182715.10806,300132.100019248
136,98282,98282,029,Standard,Island County,CAMANO ISLAND,2707963731.98798,244682.833429736
137,98282,98282,061,Standard,Snohomish County,CAMANO ISLAND,29434911.5149536,31528.7313977984
138,98283,98283,057,Standard,Skagit County,ROCKPORT,3459183276.17493,359130.601991465
139,98284,98284,057,Standard,Skagit County,SEDRO WOOLLEY,13370683113.5269,692149.736355671
140,98288,98288,033,PO Box,King County,SKYKOMISH,8749431156.61783,484898.031949881
141,98290,98290,061,Standard,Snohomish County,SNOHOMISH,2963675477.21149,370590.753063152
142,98292,98292,057,Standard,Skagit County,STANWOOD,15010161.1430664,24840.8740267014
143,98292,98292,061,Standard,Snohomish County,STANWOOD,2636109545.96866,281458.45302147
144,98294,98294,061,Standard,Snohomish County,SULTAN,10720192477.8615,640313.651111477
145,98296,98296,061,Standard,Snohomish County,SNOHOMISH,1015487593.87885,249586.675347355
146,98303,98303,053,Standard,Pierce County,ANDERSON ISLAND,527720828.366009,88840.5569921393
147,98304,98304,053,Standard,Pierce County,ASHFORD,8009829760.31802,568301.221286425
148,98310,98310,035,Standard,Kitsap County,BREMERTON,237907602.714523,83634.1657390082
149,98311,98311,035,Standard,Kitsap County,BREMERTON,371105870.953384,121375.149612047
150,98312,98312,035,Standard,Kitsap County,BREMERTON,2014224892.0634,290085.854086758
151,98312,98312,045,Standard,Mason County,BREMERTON,2020707.57719421,5639.97885393055
152,98314,98314,035,Unique,Kitsap County,BREMERTON,49357626.4309235,35460.2143434159
153,98315,98315,035,Standard,Kitsap County,SILVERDALE,403637342.016174,99787.3422939094
154,98320,98320,031,Standard,Jefferson County,BRINNON,4349718316.62897,315239.350208724
155,98321,98321,053,Standard,Pierce County,BUCKLEY,3305719579.91929,525930.760190602
156,98323,98323,053,Standard,Pierce County,CARBONADO,185781415.21555,121725.233300544
157,98325,98325,031,Standard,Jefferson County,CHIMACUM,777988876.894653,139463.444609155
158,98327,98327,053,Standard,Pierce County,DUPONT,286472960.934067,91758.6189529082
159,98328,98328,053,Standard,Pierce County,EATONVILLE,3854357707.0507,351878.03826106
160,98329,98329,035,Standard,Kitsap County,GIG HARBOR,5263511.15538025,10595.0830018118
161,98329,98329,053,Standard,Pierce County,GIG HARBOR,841889085.153641,143832.253971286
162,98330,98330,053,Standard,Pierce County,ELBE,158424675.571793,61470.7245030678
163,98332,98332,053,Standard,Pierce County,GIG HARBOR,772087703.963593,147695.410949258
164,98333,98333,053,Standard,Pierce County,FOX ISLAND,434764048.228569,92358.6018937131
165,98335,98335,053,Standard,Pierce County,GIG HARBOR,994961114.064629,162684.479533008
166,98337,98337,035,Standard,Kitsap County,BREMERTON,39595980.2294922,33809.3244862465
167,98338,98338,053,Standard,Pierce County,GRAHAM,1475876422.33598,253771.141941377
168,98339,98339,031,Standard,Jefferson County,PORT HADLOCK,590916686.495636,133777.367626904
169,98340,98340,035,Standard,Kitsap County,HANSVILLE,771489036.822601,120988.388501469
170,98342,98342,035,Standard,Kitsap County,INDIANOLA,187110849.697632,60561.8527278494
171,98345,98345,035,PO Box,Kitsap County,KEYPORT,26810071.5220337,22192.8814894426
172,98346,98346,035,Standard,Kitsap County,KINGSTON,1646627719.87506,218006.643096876
173,98349,98349,053,Standard,Pierce County,LAKEBAY,1090551730.44186,176419.651153084
174,98351,98351,053,Standard,Pierce County,LONGBRANCH,476972321.917679,91260.3559636197
175,98354,98354,033,Standard,King County,MILTON,15004870.6313629,25310.3807581498
176,98354,98354,053,Standard,Pierce County,MILTON,60437043.0363922,41666.4627908699
177,98358,98358,031,Standard,Jefferson County,NORDLAND,838794402.454712,135456.92911155
178,98359,98359,035,Standard,Kitsap County,OLALLA,446189839.300659,106983.274758181
179,98360,98360,053,Standard,Pierce County,ORTING,5353433318.67785,499292.000493228
180,98365,98365,031,Standard,Jefferson County,PORT LUDLOW,1863152149.97162,211702.763831095
181,98366,98366,035,Standard,Kitsap County,PORT ORCHARD,1129734616.19537,180230.525469499
182,98367,98367,035,Standard,Kitsap County,PORT ORCHARD,2123107506.84109,295730.485684254
183,98368,98368,031,Standard,Jefferson County,PORT TOWNSEND,4658286952.3158,464012.407593749
184,98370,98370,035,Standard,Kitsap County,POULSBO,2025517885.57706,299147.239709954
185,98371,98371,053,Standard,Pierce County,PUYALLUP,343396139.305763,166324.610414565
186,98372,98372,053,Standard,Pierce County,PUYALLUP,368007471.864517,149975.366849507
187,98373,98373,053,Standard,Pierce County,PUYALLUP,264277761.716179,130045.327812124
188,98374,98374,053,Standard,Pierce County,PUYALLUP,441151757.28109,157300.770516285
189,98375,98375,053,Standard,Pierce County,PUYALLUP,283949801.719048,118178.738795798
190,98376,98376,031,Standard,Jefferson County,QUILCENE,3967806219.72089,390805.284421132
191,98380,98380,035,Standard,Kitsap County,SEABECK,1759034332.86462,219360.375270765
192,98380,98380,045,Standard,Mason County,SEABECK,29929976.3817139,22288.8919097252
193,98382,98382,009,Standard,Clallam County,SEQUIM,10840673506.6284,603879.739762938
194,98382,98382,037,Standard,Kittitas County,SEQUIM,438982487.573151,101880.218267174
195,98383,98383,035,Standard,Kitsap County,SILVERDALE,612415911.557541,169220.608828158
196,98385,98385,053,Standard,Pierce County,SOUTH PRAIRIE,16032093.2715683,26354.496588453
197,98387,98387,053,Standard,Pierce County,SPANAWAY,596677239.956715,262452.848549456
198,98388,98388,053,Standard,Pierce County,STEILACOOM,723667033.997837,141110.719276317
199,98390,98390,053,Standard,Pierce County,SUMNER,265375633.705391,112585.794841029
200,98391,98391,053,Standard,Pierce County,BONNEY LAKE,1040708225.52106,260905.318422932
201,98392,98392,035,Standard,Kitsap County,SUQUAMISH,76185055.7408752,52490.441182714
202,98394,98394,053,Standard,Pierce County,VAUGHN,206714057.217606,67970.7600545269
203,98396,98396,053,Standard,Pierce County,WILKESON,100115998.32629,53184.0526693989
204,98402,98402,053,Standard,Pierce County,TACOMA,31441309.8122635,34331.9978307714
205,98403,98403,053,Standard,Pierce County,TACOMA,119242227.149239,60688.7364990948
206,98404,98404,053,Standard,Pierce County,TACOMA,203310669.53376,98471.7957505333
207,98405,98405,053,Standard,Pierce County,TACOMA,115027349.62661,60571.3333935246
208,98406,98406,053,Standard,Pierce County,TACOMA,141200899.201675,101331.93626269
209,98407,98407,053,Standard,Pierce County,TACOMA,324697302.156799,100842.129562979
210,98408,98408,053,Standard,Pierce County,TACOMA,97064286.3191071,59797.1516607886
211,98409,98409,053,Standard,Pierce County,TACOMA,196859240.850975,85390.5308438357
212,98416,98416,053,Unique,Pierce County,TACOMA,3913448.1291275,8779.92450159004
213,98418,98418,053,Standard,Pierce County,TACOMA,47010613.4146423,34252.1077790985
214,98421,98421,053,Standard,Pierce County,TACOMA,245112060.688385,72483.6808395673
215,98422,98422,033,Standard,King County,TACOMA,1621490.99097443,10581.8830705924
216,98422,98422,053,Standard,Pierce County,TACOMA,335863885.391708,96757.8923324245
217,98424,98424,053,Standard,Pierce County,TACOMA,186557469.254646,73429.1076997492
218,98430,98430,053,Standard,Pierce County,CAMP MURRAY,12337901.2111282,16387.4097243827
219,98431,98431,053,Standard,Pierce County,TACOMA,4321605.15129089,7944.60212474792
220,98433,98433,053,Standard,Pierce County,TACOMA,2949812831.66912,385230.732402695
221,98438,98438,053,Standard,Pierce County,TACOMA,241187474.06992,87379.8145862698
222,98439,98439,053,Standard,Pierce County,LAKEWOOD,14240797.5383835,22104.0023513594
223,98443,98443,053,Standard,Pierce County,TACOMA,141354415.760872,88983.0804827682
224,98444,98444,053,Standard,Pierce County,TACOMA,199207459.088711,116888.152698124
225,98445,98445,053,Standard,Pierce County,TACOMA,291278349.995525,163494.268220991
226,98446,98446,053,Standard,Pierce County,TACOMA,301658355.721775,153223.643164723
227,98447,98447,053,Unique,Pierce County,TACOMA,6216458.40257645,13606.0218872715
228,98465,98465,053,Standard,Pierce County,TACOMA,43142641.2551575,60783.332988548
229,98466,98466,053,Standard,Pierce County,TACOMA,219047524.864861,90639.3960787429
230,98467,98467,053,Standard,Pierce County,UNIVERSITY PLACE,186227146.867172,85909.8919454847
231,98493,98493,053,Standard,Pierce County,TACOMA,27137620.6078835,24171.4955601984
232,98498,98498,053,Standard,Pierce County,LAKEWOOD,267680901.010792,103568.081480516
233,98499,98499,053,Standard,Pierce County,LAKEWOOD,258483287.552616,92920.9163548572
234,98501,98501,067,Standard,Thurston County,OLYMPIA,1063779633.01334,227489.785098515
235,98502,98502,045,Standard,Mason County,OLYMPIA,7068497.51324081,11633.3125214704
236,98502,98502,067,Standard,Thurston County,OLYMPIA,2031495369.43154,268859.557527579
237,98503,98503,067,Standard,Thurston County,LACEY,345419003.914626,124057.018106202
238,98506,98506,067,Standard,Thurston County,OLYMPIA,837506412.910355,161029.657087236
239,98512,98512,067,Standard,Thurston County,OLYMPIA,4121464666.68813,380528.234972671
240,98513,98513,067,Standard,Thurston County,OLYMPIA,1294716965.1723,295084.468641625
241,98516,98516,067,Standard,Thurston County,OLYMPIA,1170268477.01519,196786.10810599
242,98524,98524,045,Standard,Mason County,ALLYN,526612947.430717,123639.568980293
243,98528,98528,035,Standard,Kitsap County,BELFAIR,9099747.16372681,23794.0050050311
244,98528,98528,045,Standard,Mason County,BELFAIR,2257162460.21661,330961.407239406
245,98528,98528,053,Standard,Pierce County,BELFAIR,6916667.27282715,18560.593517485
246,98531,98531,067,Standard,Thurston County,CENTRALIA,935059511.25589,210454.331113478
247,98541,98541,045,Standard,Mason County,ELMA,2015366202.59738,230388.127955097
248,98546,98546,045,Standard,Mason County,GRAPEVIEW,860801200.743805,185552.321554008
249,98548,98548,045,Standard,Mason County,HOODSPORT,1923891172.73431,284067.204948809
250,98555,98555,045,Standard,Mason County,LILLIWAUP,3378208775.98836,321616.067328207
251,98557,98557,045,Standard,Mason County,MCCLEARY,22582285.7159958,24984.122427415
252,98558,98558,053,Standard,Pierce County,MCKENNA,6875372.07455826,16746.2349620062
253,98560,98560,045,Standard,Mason County,MATLOCK,1998687073.08701,212838.640948938
254,98563,98563,045,Standard,Mason County,MONTESANO,3918555853.48463,430111.454941882
255,98576,98576,067,Standard,Thurston County,RAINIER,2538164690.30759,385840.906108546
256,98579,98579,067,Standard,Thurston County,ROCHESTER,1470141583.85885,252301.627298289
257,98580,98580,053,Standard,Pierce County,ROY,1780789516.37973,248882.972184781
258,98584,98584,045,Standard,Mason County,SHELTON,9851561276.2643,619785.518932455
259,98588,98588,045,Standard,Mason County,TAHUYA,1701704687.104,203931.782398061
260,98589,98589,067,Standard,Thurston County,TENINO,2693052453.40003,325026.396412496
261,98592,98592,045,Standard,Mason County,UNION,810057698.610306,163038.183608695
262,98597,98597,067,Standard,Thurston County,YELM,3085238695.45272,469274.372342771
263,98826,98826,007,Standard,Chelan County,LEAVENWORTH,26179809163.3136,845445.557167107
264,98922,98922,037,Standard,Kittitas County,CLE ELUM,17220076339.3719,871202.840237999
265,98925,98925,037,Standard,Kittitas County,EASTON,5997914905.19701,513881.754033565
266,98926,98926,037,Standard,Kittitas County,ELLENSBURG,32490465853.3334,947568.861297756
267,98934,98934,037,PO Box,Kittitas County,KITTITAS,12289665.0654078,21908.6905747336
268,98937,98937,077,Standard,Yakima County,NACHES,10614499458.9652,492873.204053677
269,98940,98940,037,PO Box,Kittitas County,RONALD,5451150403.34587,465055.066535704
270,98941,98941,037,PO Box,Kittitas County,ROSLYN,357024286.20961,128017.069816111
271,98943,98943,037,PO Box,Kittitas County,SOUTH CLE ELUM,10064275.3951111,14265.7191524655
272,98946,98946,037,Standard,Kittitas County,THORP,836663894.394428,148179.572806545
273,98950,98950,037,PO Box,Kittitas County,VANTAGE,915724778.757035,209701.375729646
